Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Pesan dalam aplikasi lainnya)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Personalisasi
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Pesan dalam aplikasi lainnya)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Pengelolaan akun
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Pesan dalam aplikasi lainnya)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Fungsi aplikasi
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Pesan dalam aplikasi lainnya)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Analytics
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Pesan dalam aplikasi lainnya)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Komunikasi developer
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Pesan dalam aplikasi lainnya)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Pencegahan penipuan, keamanan, dan kepatuhan"
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Pesan dalam aplikasi lainnya)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Iklan atau pemasaran
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Pesan dalam aplikasi lainnya)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Personalisasi
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Pesan dalam aplikasi lainnya)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Pengelolaan akun
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Foto)/Apakah data ini dikumpulkan, dibagikan, atau keduanya?/Dikumpulkan"
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Foto)/Apakah data ini dikumpulkan, dibagikan, atau keduanya?/Dibagikan"
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Penggunaan dan penanganan data (Foto)/Apakah data ini diproses secara sementara?
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,"Penggunaan dan penanganan data (Foto)/Apakah data ini diperlukan untuk aplikasi, atau dapatkah pengguna memilih data tersebut untuk dikumpulkan atau tidak?/Pengguna dapat memilih data ini untuk dikumpulkan atau tidak"
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,"Penggunaan dan penanganan data (Foto)/Apakah data ini diperlukan untuk aplikasi, atau dapatkah pengguna memilih data tersebut untuk dikumpulkan atau tidak?/Pengumpulan data diperlukan (pengguna tidak dapat menonaktifkan pengumpulan data ini)"
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Foto)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Fungsi aplikasi
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Foto)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Analytics
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Foto)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Komunikasi developer
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Foto)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Pencegahan penipuan, keamanan, dan kepatuhan"
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Foto)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Iklan atau pemasaran
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Foto)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Personalisasi
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Foto)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Pengelolaan akun
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Foto)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Fungsi aplikasi
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Foto)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Analytics
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Foto)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Komunikasi developer
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Foto)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Pencegahan penipuan, keamanan, dan kepatuhan"
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Foto)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Iklan atau pemasaran
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Foto)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Personalisasi
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Foto)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Pengelolaan akun
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Video)/Apakah data ini dikumpulkan, dibagikan, atau keduanya?/Dikumpulkan"
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Video)/Apakah data ini dikumpulkan, dibagikan, atau keduanya?/Dibagikan"
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Penggunaan dan penanganan data (Video)/Apakah data ini diproses secara sementara?
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,"Penggunaan dan penanganan data (Video)/Apakah data ini diperlukan untuk aplikasi, atau dapatkah pengguna memilih data tersebut untuk dikumpulkan atau tidak?/Pengguna dapat memilih data ini untuk dikumpulkan atau tidak"
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,"Penggunaan dan penanganan data (Video)/Apakah data ini diperlukan untuk aplikasi, atau dapatkah pengguna memilih data tersebut untuk dikumpulkan atau tidak?/Pengumpulan data diperlukan (pengguna tidak dapat menonaktifkan pengumpulan data ini)"
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Video)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Fungsi aplikasi
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Video)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Analytics
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Video)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Komunikasi developer
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Video)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Pencegahan penipuan, keamanan, dan kepatuhan"
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Video)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Iklan atau pemasaran
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Video)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Personalisasi
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Video)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Pengelolaan akun
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Video)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Fungsi aplikasi
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Video)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Analytics
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Video)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Komunikasi developer
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Video)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Pencegahan penipuan, keamanan, dan kepatuhan"
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Video)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Iklan atau pemasaran
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Video)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Personalisasi
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Video)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Pengelolaan akun
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Rekaman suara)/Apakah data ini dikumpulkan, dibagikan, atau keduanya?/Dikumpulkan"
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Rekaman suara)/Apakah data ini dikumpulkan, dibagikan, atau keduanya?/Dibagikan"
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Penggunaan dan penanganan data (Rekaman suara)/Apakah data ini diproses secara sementara?
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,"Penggunaan dan penanganan data (Rekaman suara)/Apakah data ini diperlukan untuk aplikasi, atau dapatkah pengguna memilih data tersebut untuk dikumpulkan atau tidak?/Pengguna dapat memilih data ini untuk dikumpulkan atau tidak"
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,"Penggunaan dan penanganan data (Rekaman suara)/Apakah data ini diperlukan untuk aplikasi, atau dapatkah pengguna memilih data tersebut untuk dikumpulkan atau tidak?/Pengumpulan data diperlukan (pengguna tidak dapat menonaktifkan pengumpulan data ini)"
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Rekaman suara)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Fungsi aplikasi
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Rekaman suara)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Analytics
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Rekaman suara)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Komunikasi developer
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Rekaman suara)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Pencegahan penipuan, keamanan, dan kepatuhan"
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Rekaman suara)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Iklan atau pemasaran
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Rekaman suara)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Personalisasi
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Rekaman suara)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Pengelolaan akun
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Rekaman suara)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Fungsi aplikasi
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Rekaman suara)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Analytics
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Rekaman suara)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Komunikasi developer
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (Rekaman suara)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Pencegahan penipuan, keamanan, dan kepatuhan"
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Rekaman suara)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Iklan atau pemasaran
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Rekaman suara)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Personalisasi
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (Rekaman suara)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Pengelolaan akun
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (File musik)/Apakah data ini dikumpulkan, dibagikan, atau keduanya?/Dikumpulkan"
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (File musik)/Apakah data ini dikumpulkan, dibagikan, atau keduanya?/Dibagikan"
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Penggunaan dan penanganan data (File musik)/Apakah data ini diproses secara sementara?
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,"Penggunaan dan penanganan data (File musik)/Apakah data ini diperlukan untuk aplikasi, atau dapatkah pengguna memilih data tersebut untuk dikumpulkan atau tidak?/Pengguna dapat memilih data ini untuk dikumpulkan atau tidak"
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,"Penggunaan dan penanganan data (File musik)/Apakah data ini diperlukan untuk aplikasi, atau dapatkah pengguna memilih data tersebut untuk dikumpulkan atau tidak?/Pengumpulan data diperlukan (pengguna tidak dapat menonaktifkan pengumpulan data ini)"
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File musik)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Fungsi aplikasi
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File musik)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Analytics
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File musik)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Komunikasi developer
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (File musik)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Pencegahan penipuan, keamanan, dan kepatuhan"
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File musik)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Iklan atau pemasaran
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File musik)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Personalisasi
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File musik)/Mengapa data pengguna ini dikumpulkan? Pilih semua yang sesuai./Pengelolaan akun
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File musik)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Fungsi aplikasi
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File musik)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Analytics
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File musik)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Komunikasi developer
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (File musik)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Pencegahan penipuan, keamanan, dan kepatuhan"
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File musik)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Iklan atau pemasaran
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File musik)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Personalisasi
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Penggunaan dan penanganan data (File musik)/Mengapa data pengguna ini dibagikan? Pilih semua yang sesuai./Pengelolaan akun
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_AUDIO:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (File audio lainnya)/Apakah data ini dikumpulkan, dibagikan, atau keduanya?/Dikumpulkan"
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_AUDIO:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Penggunaan dan penanganan data (File audio lainnya)/Apakah data ini dikumpulkan, dibagikan, atau keduanya?/Dibagikan"
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_AUDIO:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Penggunaan dan penanganan data (File audio lainnya)/Apakah data ini diproses secara sementara?
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_AUDIO:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,"Penggunaan dan penanganan data (File audio lainnya)/Apakah data ini diperlukan untuk aplikasi, atau dapatkah pengguna memilih data tersebut untuk dikumpulkan atau tidak?/Pengguna dapat memilih data ini untuk dikumpulkan atau tidak"
